Participant.ID,Timestamp,Center,Left,Right,Answer,Response.Time..s.,Alg.Label,origTime,origAlg.Label
1099,2001-01-01 00:00:00.000001,i0464,i0532,i0546,i0532,7955,Train,31:28.0,Random
1099,2001-01-01 00:00:00.000002,i0246,i0386,i0462,i0386,2233,Train,31:28.0,Random
1099,2001-01-01 00:00:00.000003,i0524,i0586,i0412,i0586,3627,Test,31:28.0,Test
1100,2001-01-01 00:00:00.000004,i0444,i0116,i0034,i0116,1775,Train,36:54.0,Uncertainty
1100,2001-01-01 00:00:00.000005,i0308,i0236,i0050,i0236,1445,Train,36:54.0,Uncertainty
1106,2001-01-01 00:00:00.000006,i0488,i0358,i0074,i0358,2969,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000007,i0222,i0452,i0500,i0452,2216,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000008,i0094,i0284,i0542,i0284,1891,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000009,i0388,i0286,i0542,i0286,7746,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000010,i0356,i0234,i0248,i0234,6817,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000011,i0442,i0242,i0088,i0242,7741,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000012,i0280,i0188,i0172,i0188,6240,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000013,i0294,i0352,i0224,i0352,6804,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000014,i0040,i0066,i0446,i0066,4842,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000015,i0164,i0040,i0042,i0040,4303,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000016,i0004,i0526,i0468,i0526,3844,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000017,i0278,i0428,i0552,i0428,15228,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000018,i0058,i0010,i0434,i0010,3096,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000019,i0520,i0306,i0172,i0306,4599,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000020,i0600,i0394,i0146,i0394,7673,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000021,i0186,i0384,i0464,i0384,7773,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000022,i0010,i0206,i0126,i0206,21552,Train,42:11.0,Random
1106,2001-01-01 00:00:00.000023,i0296,i0052,i0028,i0052,15678,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000024,i0596,i0272,i0034,i0272,6284,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000025,i0266,i0402,i0096,i0402,9015,Train,42:11.0,Uncertainty
1106,2001-01-01 00:00:00.000026,i0576,i0500,i0272,i0500,2468,Test,42:11.0,Test
1106,2001-01-01 00:00:00.000027,i0418,i0516,i0148,i0516,9832,Test,42:11.0,Test
