Item,x,y
01F_AN_O,0.882845952,-0.332561477
01F_CA_C,-0.289362636,0.231266328
01F_CA_O,-0.517664313,0.027888157
01F_DI_C,0.800565144,0.722475686
01F_DI_O,1.171502876,0.167704095
01F_FE_C,0.399556224,0.447233877
01F_FE_O,0.603729611,-0.392050183
01F_HA_C,-0.882793329,-0.509108489
01F_HA_O,-0.728242096,-1.203387648
01F_HA_X,0.048910918,-0.92927529
01F_NE_C,-0.381212289,0.538055558
01F_NE_O,-0.057036823,0.139734175
01F_SA_C,0.23461311,0.952747569
01F_SA_O,0.535885709,-0.435223092
01F_SP_O,0.338946376,-0.700328058
01F_AN_C,0.53766375,0.834118208
06F_AN_C,-0.057100419,0.599462308
06F_AN_O,0.574531914,0.028675984
06F_CA_C,-0.364781807,0.674202283
06F_CA_O,-0.149377822,0.119702122
06F_DI_C,0.500904883,0.614788031
06F_DI_O,0.823703379,-0.409288251
06F_FE_C,-0.352132469,0.468936309
06F_FE_O,0.158330462,-0.071976878
06F_HA_C,-0.678724632,-0.391543018
06F_HA_O,-0.154498658,-0.988809893
06F_HA_X,-0.046593061,-0.946221881
06F_NE_C,-0.662257644,0.207370275
06F_NE_O,-0.487610024,0.396418868
06F_SA_C,0.574321782,0.02597995
06F_SA_O,0.668356782,0.268891385
06F_SP_O,0.819220597,-0.556066219
09F_AN_C,0.699654176,0.395588965
09F_AN_O,0.949064414,-0.242414739
09F_CA_C,-0.57838248,0.557578309
09F_CA_O,-0.421025175,-0.268350457
09F_DI_C,0.70824947,0.5813415
09F_DI_O,1.422482182,-0.266362807
09F_FE_C,0.072021345,0.671434279
09F_FE_O,0.655004055,-0.022404565
09F_HA_C,-0.784829317,-0.558555318
09F_HA_O,-0.062527559,-1.010955454
09F_HA_X,-0.438920488,-0.736854102
09F_NE_C,-0.671592839,0.558145903
09F_NE_O,-0.417873816,0.529996208
09F_SA_C,0.024963518,0.574758937
09F_SA_O,0.699565333,-0.101586749
09F_SP_O,0.370449055,-0.60624358
11F_AN_C,0.128699228,0.531116219
11F_AN_O,0.396907844,-0.62457398
11F_CA_C,-0.436759176,-0.232681321
11F_CA_O,-0.365536051,-0.157632118
11F_DI_C,0.438009029,0.75863945
11F_DI_O,0.758595159,-0.294620108
11F_FE_C,-0.291983869,0.19929437
11F_FE_O,0.783866229,-0.584350512
11F_HA_C,-0.921620076,-0.333675121
11F_HA_O,-0.58074902,-0.584934191
11F_HA_X,-0.263386042,-1.395434178
